H5'' GUA,3TER,5TER HN8 0.09 0.09
C4' GUA,3TER,5TER CN7 0.16 0.16
H4' GUA,3TER,5TER HN7 0.09 0.09
O4' GUA,3TER,5TER ON6B -0.50 -0.5
C1' GUA,3TER,5TER CN7B 0.16 0.16
H1' GUA,3TER,5TER HN7 0.09 0.09
N9 GUA,3TER,5TER NN2B -0.02 -0.02
C4 GUA,3TER,5TER CN5 0.26 0.26
N2 GUA,3TER,5TER NN1 -0.68 -0.68
H21 GUA,3TER,5TER HN1 0.32 0.335
H22 GUA,3TER,5TER HN1 0.35 0.335
N3 GUA,3TER,5TER NN3G -0.74 -0.74
C2 GUA,3TER,5TER CN2 0.75 0.75
N1 GUA,3TER,5TER NN2G -0.34 -0.34
H1 GUA,3TER,5TER HN2 0.26 0.26
C6 GUA,3TER,5TER CN1 0.54 0.54
O6 GUA,3TER,5TER ON1 -0.51 -0.51
C5 GUA,3TER,5TER CN5G 0.00 0
N7 GUA,3TER,5TER NN4 -0.60 -0.6
C8 GUA,3TER,5TER CN4 0.25 0.25
H8 GUA,3TER,5TER HN3 0.16 0.16
C2' GUA,3TER,5TER CN7B 0.14 0.14
H2'' GUA,3TER,5TER HN7 0.09 0.09
O2' GUA,3TER,5TER ON5 -0.66 -0.66
H2' GUA,3TER,5TER HN5 0.43 0.43
C3' GUA,3TER,5TER CN7 0.14 0.14
H3' GUA,3TER,5TER HN7 0.09 0.09
O3' GUA,3TER,5TER ON5 -0.66 -0.66
H3T GUA,3TER,5TER HN5 0.43 0.43
H5T GUA,3TER,5TER HN5 0.43 0.43
O5' ADE,3TER,5TER ON5 -0.66 -0.66
C5' ADE,3TER,5TER CN8B 0.05 0.05
H5' ADE,3TER,5TER HN8 0.09 0.09
H5'' ADE,3TER,5TER HN8 0.09 0.09
C4' ADE,3TER,5TER CN7 0.16 0.16
H4' ADE,3TER,5TER HN7 0.09 0.09
O4' ADE,3TER,5TER ON6B -0.50 -0.5
C1' ADE,3TER,5TER CN7B 0.16 0.16
H1' ADE,3TER,5TER HN7 0.09 0.09
N9 ADE,3TER,5TER NN2 -0.05 -0.05
C5 ADE,3TER,5TER CN5 0.28 0.27
N7 ADE,3TER,5TER NN4 -0.71 -0.71
C8 ADE,3TER,5TER CN4 0.34 0.33
H8 ADE,3TER,5TER HN3 0.12 0.13
N1 ADE,3TER,5TER NN3A -0.74 -0.74
C2 ADE,3TER,5TER CN4 0.50 0.5
H2 ADE,3TER,5TER HN3 0.13 0.13
N3 ADE,3TER,5TER NN3A -0.75 -0.75
C4 ADE,3TER,5TER CN5 0.43 0.44
C6 ADE,3TER,5TER CN2 0.46 0.46
N6 ADE,3TER,5TER NN1 -0.77 -0.77
H61 ADE,3TER,5TER HN1 0.38 0.38
H62 ADE,3TER,5TER HN1 0.38 0.38
C2' ADE,3TER,5TER CN7B 0.14 0.14
H2'' ADE,3TER,5TER HN7 0.09 0.09
O2' ADE,3TER,5TER ON5 -0.66 -0.66
H2' ADE,3TER,5TER HN5 0.43 0.43
C3' ADE,3TER,5TER CN7 0.14 0.14
H3' ADE,3TER,5TER HN7 0.09 0.09
O3' ADE,3TER,5TER ON5 -0.66 -0.66
H3T ADE,3TER,5TER HN5 0.43 0.43
H5T ADE,3TER,5TER HN5 0.43 0.43
O5' CYT,3TER,5TER ON5 -0.66 -0.66
C5' CYT,3TER,5TER CN8B 0.05 0.05
H5' CYT,3TER,5TER HN8 0.09 0.09
H5'' CYT,3TER,5TER HN8 0.09 0.09
C4' CYT,3TER,5TER CN7 0.16 0.16
H4' CYT,3TER,5TER HN7 0.09 0.09
O4' CYT,3TER,5TER ON6B -0.50 -0.5
C1' CYT,3TER,5TER CN7B 0.16 0.16
H1' CYT,3TER,5TER HN7 0.09 0.09
N1 CYT,3TER,5TER NN2 -0.13 -0.13
C6 CYT,3TER,5TER CN3 0.05 0.05
H6 CYT,3TER,5TER HN3 0.17 0.17
C5 CYT,3TER,5TER CN3 -0.13 -0.12
H5 CYT,3TER,5TER HN3 0.07 0.07
