CE1  ND1  1    
CE1  NE2  2    
CG   CB   1    
CG   CD2  2    
N    CA   1    
N    HT1  1    
N    HT2  1    
N    HT3  1    
ND1  CG   1    
NE2  CD2  1    
NE2  HE2  1    
