C  H   1.2522
N  H   1.1400
O  H   1.1000
C  D   1.2522
D  N   1.1400
D  O   1.1000
C  N   1.6150
C  O   1.7000
N  N   1.5400
N  O   1.4950
C  C   1.7768
C  S   1.9360
S  O   1.6750
S  H   1.4000 
C  CL  1.8768
C  I   2.5290
C  F   1.5740
C  P   1.9900
P  O   1.9800
P  N   1.7920
N  S   1.9000
C  BR  2.0030
F  AL  1.7260
S  S   2.0290
P  P   2.0290
