charmmlipid.csv Version 2.0.3
residue,order,search,replace,TER,num_atom
DMPA,64, H3R DMPA, H3R MY  ,True,100
DMPA,65, H3S DMPA, H3S MY  ,True,100
DMPA,66, C24 DMPA, C14 MY  ,True,100
DMPA,67, H4R DMPA, H4R MY  ,True,100
DMPA,68, H4S DMPA, H4S MY  ,True,100
DMPA,69, C25 DMPA, C15 MY  ,True,100
DMPA,70, H5R DMPA, H5R MY  ,True,100
DMPA,71, H5S DMPA, H5S MY  ,True,100
DMPA,72, C26 DMPA, C16 MY  ,True,100
DMPA,73, H6R DMPA, H6R MY  ,True,100
DMPA,74, H6S DMPA, H6S MY  ,True,100
DMPA,75, C27 DMPA, C17 MY  ,True,100
DMPA,76, H7R DMPA, H7R MY  ,True,100
DMPA,77, H7S DMPA, H7S MY  ,True,100
DMPA,78, C28 DMPA, C18 MY  ,True,100
DMPA,79, H8R DMPA, H8R MY  ,True,100
DMPA,80, H8S DMPA, H8S MY  ,True,100
DMPA,81, C29 DMPA, C19 MY  ,True,100
DMPA,82, H9R DMPA, H9R MY  ,True,100
DMPA,83, H9S DMPA, H9S MY  ,True,100
DMPA,84,C210 DMPA,C110 MY  ,True,100
DMPA,85,H10R DMPA,H10R MY  ,True,100
DMPA,86,H10S DMPA,H10S MY  ,True,100
DMPA,87,C211 DMPA,C111 MY  ,True,100
DMPA,88,H11R DMPA,H11R MY  ,True,100
DMPA,89,H11S DMPA,H11S MY  ,True,100
DMPA,90,C212 DMPA,C112 MY  ,True,100
DMPA,91,H12R DMPA,H12R MY  ,True,100
DMPA,92,H12S DMPA,H12S MY  ,True,100
DMPA,93,C213 DMPA,C113 MY  ,True,100
DMPA,94,H13R DMPA,H13R MY  ,True,100
DMPA,95,H13S DMPA,H13S MY  ,True,100
DMPA,96,C214 DMPA,C114 MY  ,True,100
DMPA,97,H14R DMPA,H14R MY  ,True,100
DMPA,98,H14S DMPA,H14S MY  ,True,100
DMPA,99,H14T DMPA,H14T MY  ,True,100
DMPC,0, C32 DMPC, C12 MY  ,True,118
DMPC,1, H2X DMPC, H2R MY  ,True,118
DMPC,2, H2Y DMPC, H2S MY  ,True,118
DMPC,3, C33 DMPC, C13 MY  ,True,118
DMPC,4, H3X DMPC, H3R MY  ,True,118
DMPC,5, H3Y DMPC, H3S MY  ,True,118
DMPC,6, C34 DMPC, C14 MY  ,True,118
DMPC,7, H4X DMPC, H4R MY  ,True,118
DMPC,8, H4Y DMPC, H4S MY  ,True,118
DMPC,9, C35 DMPC, C15 MY  ,True,118
DMPC,10, H5X DMPC, H5R MY  ,True,118
DMPC,11, H5Y DMPC, H5S MY  ,True,118
DMPC,12, C36 DMPC, C16 MY  ,True,118
DMPC,13, H6X DMPC, H6R MY  ,True,118
DMPC,14, H6Y DMPC, H6S MY  ,True,118
DMPC,15, C37 DMPC, C17 MY  ,True,118
DMPC,16, H7X DMPC, H7R MY  ,True,118
DMPC,17, H7Y DMPC, H7S MY  ,True,118
DMPC,18, C38 DMPC, C18 MY  ,True,118
DMPC,19, H8X DMPC, H8R MY  ,True,118
DMPC,20, H8Y DMPC, H8S MY  ,True,118
DMPC,21, C39 DMPC, C19 MY  ,True,118
DMPC,22, H9X DMPC, H9R MY  ,True,118
DMPC,23, H9Y DMPC, H9S MY  ,True,118
DMPC,24,C310 DMPC,C110 MY  ,True,118
DMPC,25,H10X DMPC,H10R MY  ,True,118
DMPC,26,H10Y DMPC,H10S MY  ,True,118
DMPC,27,C311 DMPC,C111 MY  ,True,118
DMPC,28,H11X DMPC,H11R MY  ,True,118
DMPC,29,H11Y DMPC,H11S MY  ,True,118
DMPC,30,C312 DMPC,C112 MY  ,True,118
DMPC,31,H12X DMPC,H12R MY  ,True,118
DMPC,32,H12Y DMPC,H12S MY  ,True,118
DMPC,33,C313 DMPC,C113 MY  ,True,118
DMPC,34,H13X DMPC,H13R MY  ,True,118
DMPC,35,H13Y DMPC,H13S MY  ,True,118
DMPC,36,C314 DMPC,C114 MY  ,True,118
DMPC,37,H14X DMPC,H14R MY  ,True,118
DMPC,38,H14Y DMPC,H14S MY  ,True,118
DMPC,39,H14Z DMPC,H14T MY  ,True,118
DMPC,40, N   DMPC, N31 PC  ,True,118
DMPC,41, C13 DMPC, C33 PC  ,True,118
DMPC,42,H13A DMPC, H3A PC  ,True,118
DMPC,43,H13B DMPC, H3B PC  ,True,118
DMPC,44,H13C DMPC, H3C PC  ,True,118
DMPC,45, C14 DMPC, C34 PC  ,True,118
DMPC,46,H14A DMPC, H4A PC  ,True,118
DMPC,47,H14B DMPC, H4B PC  ,True,118
DMPC,48,H14C DMPC, H4C PC  ,True,118
DMPC,49, C15 DMPC, C35 PC  ,True,118
DMPC,50,H15A DMPC, H5A PC  ,True,118
DMPC,51,H15B DMPC, H5B PC  ,True,118
DMPC,52,H15C DMPC, H5C PC  ,True,118
DMPC,53, C12 DMPC, C32 PC  ,True,118
DMPC,54,H12A DMPC, H2A PC  ,True,118
DMPC,55,H12B DMPC, H2B PC  ,True,118
DMPC,56, C11 DMPC, C31 PC  ,True,118
DMPC,57,H11A DMPC, H1A PC  ,True,118
DMPC,58,H11B DMPC, H1B PC  ,True,118
DMPC,59, P   DMPC, P31 PC  ,True,118
DMPC,60, O13 DMPC, O33 PC  ,True,118
DMPC,61, O14 DMPC, O34 PC  ,True,118
DMPC,62, O11 DMPC, O31 PC  ,True,118
DMPC,63, O12 DMPC, O32 PC  ,True,118
DMPC,64, C1  DMPC, C3  PC  ,True,118
DMPC,65, HA  DMPC, HA  PC  ,True,118
DMPC,66, HB  DMPC, HB  PC  ,True,118
DMPC,67, C2  DMPC, C2  PC  ,True,118
DMPC,68, HS  DMPC, HX  PC  ,True,118
DMPC,69, O21 DMPC, O21 PC  ,True,118
DMPC,70, C21 DMPC, C21 PC  ,True,118
DMPC,71, O22 DMPC, O22 PC  ,True,118
DMPC,72, C3  DMPC, C1  PC  ,True,118
DMPC,73, HX  DMPC, HR  PC  ,True,118
DMPC,74, HY  DMPC, HS  PC  ,True,118
DMPC,75, O31 DMPC, O11 PC  ,True,118
DMPC,76, C31 DMPC, C11 PC  ,True,118
DMPC,77, O32 DMPC, O12 PC  ,True,118
DMPC,78, C22 DMPC, C12 MY  ,True,118
DMPC,79, H2R DMPC, H2R MY  ,True,118
DMPC,80, H2S DMPC, H2S MY  ,True,118
DMPC,81, C23 DMPC, C13 MY  ,True,118
DMPC,82, H3R DMPC, H3R MY  ,True,118
DMPC,83, H3S DMPC, H3S MY  ,True,118
DMPC,84, C24 DMPC, C14 MY  ,True,118
DMPC,85, H4R DMPC, H4R MY  ,True,118
DMPC,86, H4S DMPC, H4S MY  ,True,118
DMPC,87, C25 DMPC, C15 MY  ,True,118
DMPC,88, H5R DMPC, H5R MY  ,True,118
DMPC,89, H5S DMPC, H5S MY  ,True,118
DMPC,90, C26 DMPC, C16 MY  ,True,118
DMPC,91, H6R DMPC, H6R MY  ,True,118
DMPC,92, H6S DMPC, H6S MY  ,True,118
DMPC,93, C27 DMPC, C17 MY  ,True,118
DMPC,94, H7R DMPC, H7R MY  ,True,118
DMPC,95, H7S DMPC, H7S MY  ,True,118
DMPC,96, C28 DMPC, C18 MY  ,True,118
DMPC,97, H8R DMPC, H8R MY  ,True,118
DMPC,98, H8S DMPC, H8S MY  ,True,118
DMPC,99, C29 DMPC, C19 MY  ,True,118
DMPC,100, H9R DMPC, H9R MY  ,True,118
DMPC,101, H9S DMPC, H9S MY  ,True,118
DMPC,102,C210 DMPC,C110 MY  ,True,118
DMPC,103,H10R DMPC,H10R MY  ,True,118
DMPC,104,H10S DMPC,H10S MY  ,True,118
DMPC,105,C211 DMPC,C111 MY  ,True,118
DMPC,106,H11R DMPC,H11R MY  ,True,118
DMPC,107,H11S DMPC,H11S MY  ,True,118
DMPC,108,C212 DMPC,C112 MY  ,True,118
DMPC,109,H12R DMPC,H12R MY  ,True,118
DMPC,110,H12S DMPC,H12S MY  ,True,118
DMPC,111,C213 DMPC,C113 MY  ,True,118
DMPC,112,H13R DMPC,H13R MY  ,True,118
DMPC,113,H13S DMPC,H13S MY  ,True,118
DMPC,114,C214 DMPC,C114 MY  ,True,118
DMPC,115,H14R DMPC,H14R MY  ,True,118
DMPC,116,H14S DMPC,H14S MY  ,True,118
DMPC,117,H14T DMPC,H14T MY  ,True,118
DMPE,0, C32 DMPE, C12 MY  ,True,109
DMPE,1, H2X DMPE, H2R MY  ,True,109
DMPE,2, H2Y DMPE, H2S MY  ,True,109
DMPE,3, C33 DMPE, C13 MY  ,True,109
DMPE,4, H3X DMPE, H3R MY  ,True,109
DMPE,5, H3Y DMPE, H3S MY  ,True,109
DMPE,6, C34 DMPE, C14 MY  ,True,109
DMPE,7, H4X DMPE, H4R MY  ,True,109
DMPE,8, H4Y DMPE, H4S MY  ,True,109
DMPE,9, C35 DMPE, C15 MY  ,True,109
DMPE,10, H5X DMPE, H5R MY  ,True,109
DMPE,11, H5Y DMPE, H5S MY  ,True,109
DMPE,12, C36 DMPE, C16 MY  ,True,109
DMPE,13, H6X DMPE, H6R MY  ,True,109
DMPE,14, H6Y DMPE, H6S MY  ,True,109
DMPE,15, C37 DMPE, C17 MY  ,True,109
DMPE,16, H7X DMPE, H7R MY  ,True,109
DMPE,17, H7Y DMPE, H7S MY  ,True,109
DMPE,18, C38 DMPE, C18 MY  ,True,109
DMPE,19, H8X DMPE, H8R MY  ,True,109
DMPE,20, H8Y DMPE, H8S MY  ,True,109
DMPE,21, C39 DMPE, C19 MY  ,True,109
DMPE,22, H9X DMPE, H9R MY  ,True,109
DMPE,23, H9Y DMPE, H9S MY  ,True,109
DMPE,24,C310 DMPE,C110 MY  ,True,109
DMPE,25,H10X DMPE,H10R MY  ,True,109
DMPE,26,H10Y DMPE,H10S MY  ,True,109
DMPE,27,C311 DMPE,C111 MY  ,True,109
DMPE,28,H11X DMPE,H11R MY  ,True,109
DMPE,29,H11Y DMPE,H11S MY  ,True,109
DMPE,30,C312 DMPE,C112 MY  ,True,109
DMPE,31,H12X DMPE,H12R MY  ,True,109
DMPE,32,H12Y DMPE,H12S MY  ,True,109
DMPE,33,C313 DMPE,C113 MY  ,True,109
DMPE,34,H13X DMPE,H13R MY  ,True,109
DMPE,35,H13Y DMPE,H13S MY  ,True,109
DMPE,36,C314 DMPE,C114 MY  ,True,109
DMPE,37,H14X DMPE,H14R MY  ,True,109
DMPE,38,H14Y DMPE,H14S MY  ,True,109
DMPE,39,H14Z DMPE,H14T MY  ,True,109
DMPE,40, N   DMPE, N31 PE  ,True,109
DMPE,41, HN1 DMPE,HN1A PE  ,True,109
DMPE,42, HN2 DMPE,HN1B PE  ,True,109
DMPE,43, HN3 DMPE,HN1C PE  ,True,109
DMPE,44, C12 DMPE, C32 PE  ,True,109
DMPE,45,H12A DMPE, H2A PE  ,True,109
DMPE,46,H12B DMPE, H2B PE  ,True,109
DMPE,47, C11 DMPE, C31 PE  ,True,109
DMPE,48,H11A DMPE, H1A PE  ,True,109
DMPE,49,H11B DMPE, H1B PE  ,True,109
DMPE,50, P   DMPE, P31 PE  ,True,109
DMPE,51, O13 DMPE, O33 PE  ,True,109
DMPE,52, O14 DMPE, O34 PE  ,True,109
DMPE,53, O11 DMPE, O31 PE  ,True,109
DMPE,54, O12 DMPE, O32 PE  ,True,109
DMPE,55, C1  DMPE, C3  PE  ,True,109
DMPE,56, HA  DMPE, HA  PE  ,True,109
DMPE,57, HB  DMPE, HB  PE  ,True,109
DMPE,58, C2  DMPE, C2  PE  ,True,109
DMPE,59, HS  DMPE, HX  PE  ,True,109
DMPE,60, O21 DMPE, O21 PE  ,True,109
DMPE,61, C21 DMPE, C21 PE  ,True,109
DMPE,62, O22 DMPE, O22 PE  ,True,109
DMPE,63, C3  DMPE, C1  PE  ,True,109
DMPE,64, HX  DMPE, HR  PE  ,True,109
DMPE,65, HY  DMPE, HS  PE  ,True,109
DMPE,66, O31 DMPE, O11 PE  ,True,109
DMPE,67, C31 DMPE, C11 PE  ,True,109
DMPE,68, O32 DMPE, O12 PE  ,True,109
DMPE,69, C22 DMPE, C12 MY  ,True,109
DMPE,70, H2R DMPE, H2R MY  ,True,109
DMPE,71, H2S DMPE, H2S MY  ,True,109
DMPE,72, C23 DMPE, C13 MY  ,True,109
DMPE,73, H3R DMPE, H3R MY  ,True,109
DMPE,74, H3S DMPE, H3S MY  ,True,109
DMPE,75, C24 DMPE, C14 MY  ,True,109
DMPE,76, H4R DMPE, H4R MY  ,True,109
DMPE,77, H4S DMPE, H4S MY  ,True,109
DMPE,78, C25 DMPE, C15 MY  ,True,109
DMPE,79, H5R DMPE, H5R MY  ,True,109
DMPE,80, H5S DMPE, H5S MY  ,True,109
DMPE,81, C26 DMPE, C16 MY  ,True,109
DMPE,82, H6R DMPE, H6R MY  ,True,109
DMPE,83, H6S DMPE, H6S MY  ,True,109
DMPE,84, C27 DMPE, C17 MY  ,True,109
DMPE,85, H7R DMPE, H7R MY  ,True,109
DMPE,86, H7S DMPE, H7S MY  ,True,109
DMPE,87, C28 DMPE, C18 MY  ,True,109
DMPE,88, H8R DMPE, H8R MY  ,True,109
DMPE,89, H8S DMPE, H8S MY  ,True,109
DMPE,90, C29 DMPE, C19 MY  ,True,109
DMPE,91, H9R DMPE, H9R MY  ,True,109
DMPE,92, H9S DMPE, H9S MY  ,True,109
DMPE,93,C210 DMPE,C110 MY  ,True,109
DMPE,94,H10R DMPE,H10R MY  ,True,109
DMPE,95,H10S DMPE,H10S MY  ,True,109
DMPE,96,C211 DMPE,C111 MY  ,True,109
DMPE,97,H11R DMPE,H11R MY  ,True,109
DMPE,98,H11S DMPE,H11S MY  ,True,109
DMPE,99,C212 DMPE,C112 MY  ,True,109
DMPE,100,H12R DMPE,H12R MY  ,True,109
DMPE,101,H12S DMPE,H12S MY  ,True,109
DMPE,102,C213 DMPE,C113 MY  ,True,109
DMPE,103,H13R DMPE,H13R MY  ,True,109
DMPE,104,H13S DMPE,H13S MY  ,True,109
DMPE,105,C214 DMPE,C114 MY  ,True,109
DMPE,106,H14R DMPE,H14R MY  ,True,109
DMPE,107,H14S DMPE,H14S MY  ,True,109
DMPE,108,H14T DMPE,H14T MY  ,True,109
DMPG,0, C32 DMPG, C12 MY  ,True,111
DMPG,1, H2X DMPG, H2R MY  ,True,111
DMPG,2, H2Y DMPG, H2S MY  ,True,111
DMPG,3, C33 DMPG, C13 MY  ,True,111
DMPG,4, H3X DMPG, H3R MY  ,True,111
DMPG,5, H3Y DMPG, H3S MY  ,True,111
DMPG,6, C34 DMPG, C14 MY  ,True,111
DMPG,7, H4X DMPG, H4R MY  ,True,111
DMPG,8, H4Y DMPG, H4S MY  ,True,111
DMPG,9, C35 DMPG, C15 MY  ,True,111
DMPG,10, H5X DMPG, H5R MY  ,True,111
DMPG,11, H5Y DMPG, H5S MY  ,True,111
DMPG,12, C36 DMPG, C16 MY  ,True,111
DMPG,13, H6X DMPG, H6R MY  ,True,111
DMPG,14, H6Y DMPG, H6S MY  ,True,111
DMPG,15, C37 DMPG, C17 MY  ,True,111
DMPG,16, H7X DMPG, H7R MY  ,True,111
DMPG,17, H7Y DMPG, H7S MY  ,True,111
DMPG,18, C38 DMPG, C18 MY  ,True,111
DMPG,19, H8X DMPG, H8R MY  ,True,111
DMPG,20, H8Y DMPG, H8S MY  ,True,111
DMPG,21, C39 DMPG, C19 MY  ,True,111
DMPG,22, H9X DMPG, H9R MY  ,True,111
DMPG,23, H9Y DMPG, H9S MY  ,True,111
DMPG,24,C310 DMPG,C110 MY  ,True,111
DMPG,25,H10X DMPG,H10R MY  ,True,111
DMPG,26,H10Y DMPG,H10S MY  ,True,111
DMPG,27,C311 DMPG,C111 MY  ,True,111
DMPG,28,H11X DMPG,H11R MY  ,True,111
DMPG,29,H11Y DMPG,H11S MY  ,True,111
DMPG,30,C312 DMPG,C112 MY  ,True,111
DMPG,31,H12X DMPG,H12R MY  ,True,111
DMPG,32,H12Y DMPG,H12S MY  ,True,111
DMPG,33,C313 DMPG,C113 MY  ,True,111
DMPG,34,H13X DMPG,H13R MY  ,True,111
DMPG,35,H13Y DMPG,H13S MY  ,True,111
DMPG,36,C314 DMPG,C114 MY  ,True,111
DMPG,37,H14X DMPG,H14R MY  ,True,111
DMPG,38,H14Y DMPG,H14S MY  ,True,111
DMPG,39,H14Z DMPG,H14T MY  ,True,111
DMPG,40, C13 DMPG, C33 PGR ,True,111
DMPG,41,H13A DMPG, H3A PGR ,True,111
DMPG,42,H13B DMPG, H3B PGR ,True,111
DMPG,43, OC3 DMPG, O36 PGR ,True,111
DMPG,44, HO3 DMPG,HO6A PGR ,True,111
DMPG,45, C12 DMPG, C32 PGR ,True,111
DMPG,46,H12A DMPG, H2A PGR ,True,111
DMPG,47, OC2 DMPG, O35 PGR ,True,111
DMPG,48, HO2 DMPG,HO5A PGR ,True,111
DMPG,49, C11 DMPG, C31 PGR ,True,111
DMPG,50,H11A DMPG, H1A PGR ,True,111
DMPG,51,H11B DMPG, H1B PGR ,True,111
DMPG,52, P   DMPG, P31 PGR ,True,111
DMPG,53, O13 DMPG, O33 PGR ,True,111
DMPG,54, O14 DMPG, O34 PGR ,True,111
DMPG,55, O12 DMPG, O32 PGR ,True,111
DMPG,56, O11 DMPG, O31 PGR ,True,111
DMPG,57, C1  DMPG, C3  PGR ,True,111
DMPG,58, HA  DMPG, HA  PGR ,True,111
DMPG,59, HB  DMPG, HB  PGR ,True,111
DMPG,60, C2  DMPG, C2  PGR ,True,111
DMPG,61, HS  DMPG, HX  PGR ,True,111
DMPG,62, O21 DMPG, O21 PGR ,True,111
DMPG,63, C21 DMPG, C21 PGR ,True,111
DMPG,64, O22 DMPG, O22 PGR ,True,111
DMPG,65, C3  DMPG, C1  PGR ,True,111
DMPG,66, HX  DMPG, HR  PGR ,True,111
DMPG,67, HY  DMPG, HS  PGR ,True,111
DMPG,68, O31 DMPG, O11 PGR ,True,111
DMPG,69, C31 DMPG, C11 PGR ,True,111
DMPG,70, O32 DMPG, O12 PGR ,True,111
DMPG,71, C22 DMPG, C12 MY  ,True,111
DMPG,72, H2R DMPG, H2R MY  ,True,111
DMPG,73, H2S DMPG, H2S MY  ,True,111
DMPG,74, C23 DMPG, C13 MY  ,True,111
DMPG,75, H3R DMPG, H3R MY  ,True,111
DMPG,76, H3S DMPG, H3S MY  ,True,111
DMPG,77, C24 DMPG, C14 MY  ,True,111
DMPG,78, H4R DMPG, H4R MY  ,True,111
DMPG,79, H4S DMPG, H4S MY  ,True,111
DMPG,80, C25 DMPG, C15 MY  ,True,111
DMPG,81, H5R DMPG, H5R MY  ,True,111
DMPG,82, H5S DMPG, H5S MY  ,True,111
DMPG,83, C26 DMPG, C16 MY  ,True,111
DMPG,84, H6R DMPG, H6R MY  ,True,111
DMPG,85, H6S DMPG, H6S MY  ,True,111
DMPG,86, C27 DMPG, C17 MY  ,True,111
DMPG,87, H7R DMPG, H7R MY  ,True,111
DMPG,88, H7S DMPG, H7S MY  ,True,111
DMPG,89, C28 DMPG, C18 MY  ,True,111
DMPG,90, H8R DMPG, H8R MY  ,True,111
DMPG,91, H8S DMPG, H8S MY  ,True,111
DMPG,92, C29 DMPG, C19 MY  ,True,111
DMPG,93, H9R DMPG, H9R MY  ,True,111
DMPG,94, H9S DMPG, H9S MY  ,True,111
DMPG,95,C210 DMPG,C110 MY  ,True,111
DMPG,96,H10R DMPG,H10R MY  ,True,111
DMPG,97,H10S DMPG,H10S MY  ,True,111
DMPG,98,C211 DMPG,C111 MY  ,True,111
DMPG,99,H11R DMPG,H11R MY  ,True,111
DMPG,100,H11S DMPG,H11S MY  ,True,111
DMPG,101,C212 DMPG,C112 MY  ,True,111
DMPG,102,H12R DMPG,H12R MY  ,True,111
DMPG,103,H12S DMPG,H12S MY  ,True,111
DMPG,104,C213 DMPG,C113 MY  ,True,111
DMPG,105,H13R DMPG,H13R MY  ,True,111
DMPG,106,H13S DMPG,H13S MY  ,True,111
DMPG,107,C214 DMPG,C114 MY  ,True,111
DMPG,108,H14R DMPG,H14R MY  ,True,111
DMPG,109,H14S DMPG,H14S MY  ,True,111
DMPG,110,H14T DMPG,H14T MY  ,True,111
DMPS,0, C32 DMPS, C12 MY  ,True,111
DMPS,1, H2X DMPS, H2R MY  ,True,111
DMPS,2, H2Y DMPS, H2S MY  ,True,111
DMPS,3, C33 DMPS, C13 MY  ,True,111
DMPS,4, H3X DMPS, H3R MY  ,True,111
DMPS,5, H3Y DMPS, H3S MY  ,True,111
DMPS,6, C34 DMPS, C14 MY  ,True,111
DMPS,7, H4X DMPS, H4R MY  ,True,111
DMPS,8, H4Y DMPS, H4S MY  ,True,111
DMPS,9, C35 DMPS, C15 MY  ,True,111
DMPS,10, H5X DMPS, H5R MY  ,True,111
DMPS,11, H5Y DMPS, H5S MY  ,True,111
DMPS,12, C36 DMPS, C16 MY  ,True,111
DMPS,13, H6X DMPS, H6R MY  ,True,111
DMPS,14, H6Y DMPS, H6S MY  ,True,111
DMPS,15, C37 DMPS, C17 MY  ,True,111
DMPS,16, H7X DMPS, H7R MY  ,True,111
DMPS,17, H7Y DMPS, H7S MY  ,True,111
DMPS,18, C38 DMPS, C18 MY  ,True,111
DMPS,19, H8X DMPS, H8R MY  ,True,111
DMPS,20, H8Y DMPS, H8S MY  ,True,111
DMPS,21, C39 DMPS, C19 MY  ,True,111
DMPS,22, H9X DMPS, H9R MY  ,True,111
DMPS,23, H9Y DMPS, H9S MY  ,True,111
DMPS,24,C310 DMPS,C110 MY  ,True,111
DMPS,25,H10X DMPS,H10R MY  ,True,111
DMPS,26,H10Y DMPS,H10S MY  ,True,111
DMPS,27,C311 DMPS,C111 MY  ,True,111
DMPS,28,H11X DMPS,H11R MY  ,True,111
DMPS,29,H11Y DMPS,H11S MY  ,True,111
DMPS,30,C312 DMPS,C112 MY  ,True,111
DMPS,31,H12X DMPS,H12R MY  ,True,111
DMPS,32,H12Y DMPS,H12S MY  ,True,111
DMPS,33,C313 DMPS,C113 MY  ,True,111
DMPS,34,H13X DMPS,H13R MY  ,True,111
DMPS,35,H13Y DMPS,H13S MY  ,True,111
DMPS,36,C314 DMPS,C114 MY  ,True,111
DMPS,37,H14X DMPS,H14R MY  ,True,111
DMPS,38,H14Y DMPS,H14S MY  ,True,111
DMPS,39,H14Z DMPS,H14T MY  ,True,111
DMPS,40, N   DMPS, N31 PS  ,True,111
DMPS,41, HN1 DMPS,HN1A PS  ,True,111
DMPS,42, HN2 DMPS,HN1B PS  ,True,111
DMPS,43, HN3 DMPS,HN1C PS  ,True,111
DMPS,44, C12 DMPS, C32 PS  ,True,111
DMPS,45,H12A DMPS, H2A PS  ,True,111
DMPS,46, C13 DMPS, C33 PS  ,True,111
DMPS,47,O13A DMPS, O35 PS  ,True,111
DMPS,48,O13B DMPS, O36 PS  ,True,111
DMPS,49, C11 DMPS, C31 PS  ,True,111
DMPS,50,H11A DMPS, H1A PS  ,True,111
DMPS,51,H11B DMPS, H1B PS  ,True,111
DMPS,52, P   DMPS, P31 PS  ,True,111
DMPS,53, O13 DMPS, O33 PS  ,True,111
DMPS,54, O14 DMPS, O34 PS  ,True,111
DMPS,55, O12 DMPS, O32 PS  ,True,111
DMPS,56, O11 DMPS, O31 PS  ,True,111
DMPS,57, C1  DMPS, C3  PS  ,True,111
DMPS,58, HA  DMPS, HA  PS  ,True,111
DMPS,59, HB  DMPS, HB  PS  ,True,111
DMPS,60, C2  DMPS, C2  PS  ,True,111
DMPS,61, HS  DMPS, HX  PS  ,True,111
DMPS,62, O21 DMPS, O21 PS  ,True,111
DMPS,63, C21 DMPS, C21 PS  ,True,111
DMPS,64, O22 DMPS, O22 PS  ,True,111
DMPS,65, C3  DMPS, C1  PS  ,True,111
DMPS,66, HX  DMPS, HR  PS  ,True,111
DMPS,67, HY  DMPS, HS  PS  ,True,111
DMPS,68, O31 DMPS, O11 PS  ,True,111
DMPS,69, C31 DMPS, C11 PS  ,True,111
DMPS,70, O32 DMPS, O12 PS  ,True,111
DMPS,71, C22 DMPS, C12 MY  ,True,111
DMPS,72, H2R DMPS, H2R MY  ,True,111
DMPS,73, H2S DMPS, H2S MY  ,True,111
DMPS,74, C23 DMPS, C13 MY  ,True,111
DMPS,75, H3R DMPS, H3R MY  ,True,111
DMPS,76, H3S DMPS, H3S MY  ,True,111
DMPS,77, C24 DMPS, C14 MY  ,True,111
DMPS,78, H4R DMPS, H4R MY  ,True,111
DMPS,79, H4S DMPS, H4S MY  ,True,111
DMPS,80, C25 DMPS, C15 MY  ,True,111
DMPS,81, H5R DMPS, H5R MY  ,True,111
DMPS,82, H5S DMPS, H5S MY  ,True,111
DMPS,83, C26 DMPS, C16 MY  ,True,111
DMPS,84, H6R DMPS, H6R MY  ,True,111
DMPS,85, H6S DMPS, H6S MY  ,True,111
DMPS,86, C27 DMPS, C17 MY  ,True,111
DMPS,87, H7R DMPS, H7R MY  ,True,111
DMPS,88, H7S DMPS, H7S MY  ,True,111
DMPS,89, C28 DMPS, C18 MY  ,True,111
DMPS,90, H8R DMPS, H8R MY  ,True,111
DMPS,91, H8S DMPS, H8S MY  ,True,111
DMPS,92, C29 DMPS, C19 MY  ,True,111
DMPS,93, H9R DMPS, H9R MY  ,True,111
DMPS,94, H9S DMPS, H9S MY  ,True,111
DMPS,95,C210 DMPS,C110 MY  ,True,111
DMPS,96,H10R DMPS,H10R MY  ,True,111
DMPS,97,H10S DMPS,H10S MY  ,True,111
DMPS,98,C211 DMPS,C111 MY  ,True,111
DMPS,99,H11R DMPS,H11R MY  ,True,111
DMPS,100,H11S DMPS,H11S MY  ,True,111
DMPS,101,C212 DMPS,C112 MY  ,True,111
DMPS,102,H12R DMPS,H12R MY  ,True,111
DMPS,103,H12S DMPS,H12S MY  ,True,111
DMPS,104,C213 DMPS,C113 MY  ,True,111
DMPS,105,H13R DMPS,H13R MY  ,True,111
DMPS,106,H13S DMPS,H13S MY  ,True,111
DMPS,107,C214 DMPS,C114 MY  ,True,111
DMPS,108,H14R DMPS,H14R MY  ,True,111
DMPS,109,H14S DMPS,H14S MY  ,True,111
DMPS,110,H14T DMPS,H14T MY  ,True,111
DOPA,0, C32 DOPA, C12 OL  ,True,120
DOPA,1, H2X DOPA, H2R OL  ,True,120
DOPA,2, H2Y DOPA, H2S OL  ,True,120
DOPA,3, C33 DOPA, C13 OL  ,True,120
DOPA,4, H3X DOPA, H3R OL  ,True,120
DOPA,5, H3Y DOPA, H3S OL  ,True,120
DOPA,6, C34 DOPA, C14 OL  ,True,120
DOPA,7, H4X DOPA, H4R OL  ,True,120
DOPA,8, H4Y DOPA, H4S OL  ,True,120
DOPA,9, C35 DOPA, C15 OL  ,True,120
DOPA,10, H5X DOPA, H5R OL  ,True,120
DOPA,11, H5Y DOPA, H5S OL  ,True,120
DOPA,12, C36 DOPA, C16 OL  ,True,120
DOPA,13, H6X DOPA, H6R OL  ,True,120
DOPA,14, H6Y DOPA, H6S OL  ,True,120
DOPA,15, C37 DOPA, C17 OL  ,True,120
DOPA,16, H7X DOPA, H7R OL  ,True,120
DOPA,17, H7Y DOPA, H7S OL  ,True,120
DOPA,18, C38 DOPA, C18 OL  ,True,120
DOPA,19, H8X DOPA, H8R OL  ,True,120
DOPA,20, H8Y DOPA, H8S OL  ,True,120
DOPA,21, C39 DOPA, C19 OL  ,True,120
DOPA,22, H9X DOPA, H9R OL  ,True,120
DOPA,23,C310 DOPA,C110 OL  ,True,120
DOPA,24,H10X DOPA,H10R OL  ,True,120
DOPA,25,C311 DOPA,C111 OL  ,True,120
DOPA,26,H11X DOPA,H11R OL  ,True,120
DOPA,27,H11Y DOPA,H11S OL  ,True,120
DOPA,28,C312 DOPA,C112 OL  ,True,120
