charmmlipid.csv Version 2.0.3
residue,order,search,replace,TER,num_atom
DAPA,27,C313 DAPA,C113 AR  ,True,120
DAPA,28,H13X DAPA,H13R AR  ,True,120
DAPA,29,H13Y DAPA,H13S AR  ,True,120
DAPA,30,C314 DAPA,C114 AR  ,True,120
DAPA,31,H14X DAPA,H14R AR  ,True,120
DAPA,32,C315 DAPA,C115 AR  ,True,120
DAPA,33,H15X DAPA,H15R AR  ,True,120
DAPA,34,C316 DAPA,C116 AR  ,True,120
DAPA,35,H16X DAPA,H16R AR  ,True,120
DAPA,36,H16Y DAPA,H16S AR  ,True,120
DAPA,37,C317 DAPA,C117 AR  ,True,120
DAPA,38,H17X DAPA,H17R AR  ,True,120
DAPA,39,H17Y DAPA,H17S AR  ,True,120
DAPA,40,C318 DAPA,C118 AR  ,True,120
DAPA,41,H18X DAPA,H18R AR  ,True,120
DAPA,42,H18Y DAPA,H18S AR  ,True,120
DAPA,43,C319 DAPA,C119 AR  ,True,120
DAPA,44,H19X DAPA,H19R AR  ,True,120
DAPA,45,H19Y DAPA,H19S AR  ,True,120
DAPA,46,C320 DAPA,C120 AR  ,True,120
DAPA,47,H20X DAPA,H20R AR  ,True,120
DAPA,48,H20Y DAPA,H20S AR  ,True,120
DAPA,49,H20Z DAPA,H20T AR  ,True,120
DAPA,50, P   DAPA, P31 PH- ,True,120
DAPA,51, O13 DAPA, O33 PH- ,True,120
DAPA,52, O14 DAPA, O34 PH- ,True,120
DAPA,53, O12 DAPA, O32 PH- ,True,120
DAPA,54, H12 DAPA,HO2A PH- ,True,120
DAPA,55, O11 DAPA, O31 PH- ,True,120
DAPA,56, C1  DAPA, C3  PH- ,True,120
DAPA,57, HA  DAPA, HA  PH- ,True,120
DAPA,58, HB  DAPA, HB  PH- ,True,120
DAPA,59, C2  DAPA, C2  PH- ,True,120
DAPA,60, HS  DAPA, HX  PH- ,True,120
DAPA,61, O21 DAPA, O21 PH- ,True,120
DAPA,62, C21 DAPA, C21 PH- ,True,120
DAPA,63, O22 DAPA, O22 PH- ,True,120
DAPA,64, C3  DAPA, C1  PH- ,True,120
DAPA,65, HX  DAPA, HR  PH- ,True,120
DAPA,66, HY  DAPA, HS  PH- ,True,120
DAPA,67, O31 DAPA, O11 PH- ,True,120
DAPA,68, C31 DAPA, C11 PH- ,True,120
DAPA,69, O32 DAPA, O12 PH- ,True,120
DAPA,70, C22 DAPA, C12 AR  ,True,120
DAPA,71, H2R DAPA, H2R AR  ,True,120
DAPA,72, H2S DAPA, H2S AR  ,True,120
DAPA,73, C23 DAPA, C13 AR  ,True,120
DAPA,74, H3R DAPA, H3R AR  ,True,120
DAPA,75, H3S DAPA, H3S AR  ,True,120
DAPA,76, C24 DAPA, C14 AR  ,True,120
DAPA,77, H4R DAPA, H4R AR  ,True,120
DAPA,78, H4S DAPA, H4S AR  ,True,120
DAPA,79, C25 DAPA, C15 AR  ,True,120
DAPA,80, H5R DAPA, H5R AR  ,True,120
DAPA,81, C26 DAPA, C16 AR  ,True,120
DAPA,82, H6R DAPA, H6R AR  ,True,120
DAPA,83, C27 DAPA, C17 AR  ,True,120
DAPA,84, H7R DAPA, H7R AR  ,True,120
DAPA,85, H7S DAPA, H7S AR  ,True,120
DAPA,86, C28 DAPA, C18 AR  ,True,120
DAPA,87, H8R DAPA, H8R AR  ,True,120
DAPA,88, C29 DAPA, C19 AR  ,True,120
DAPA,89, H9R DAPA, H9R AR  ,True,120
DAPA,90,C210 DAPA,C110 AR  ,True,120
DAPA,91,H10R DAPA,H10R AR  ,True,120
DAPA,92,H10S DAPA,H10S AR  ,True,120
DAPA,93,C211 DAPA,C111 AR  ,True,120
DAPA,94,H11R DAPA,H11R AR  ,True,120
DAPA,95,C212 DAPA,C112 AR  ,True,120
DAPA,96,H12R DAPA,H12R AR  ,True,120
DAPA,97,C213 DAPA,C113 AR  ,True,120
DAPA,98,H13R DAPA,H13R AR  ,True,120
DAPA,99,H13S DAPA,H13S AR  ,True,120
DAPA,100,C214 DAPA,C114 AR  ,True,120
DAPA,101,H14R DAPA,H14R AR  ,True,120
DAPA,102,C215 DAPA,C115 AR  ,True,120
DAPA,103,H15R DAPA,H15R AR  ,True,120
DAPA,104,C216 DAPA,C116 AR  ,True,120
DAPA,105,H16R DAPA,H16R AR  ,True,120
DAPA,106,H16S DAPA,H16S AR  ,True,120
DAPA,107,C217 DAPA,C117 AR  ,True,120
DAPA,108,H17R DAPA,H17R AR  ,True,120
DAPA,109,H17S DAPA,H17S AR  ,True,120
DAPA,110,C218 DAPA,C118 AR  ,True,120
DAPA,111,H18R DAPA,H18R AR  ,True,120
DAPA,112,H18S DAPA,H18S AR  ,True,120
DAPA,113,C219 DAPA,C119 AR  ,True,120
DAPA,114,H19R DAPA,H19R AR  ,True,120
DAPA,115,H19S DAPA,H19S AR  ,True,120
DAPA,116,C220 DAPA,C120 AR  ,True,120
DAPA,117,H20R DAPA,H20R AR  ,True,120
DAPA,118,H20S DAPA,H20S AR  ,True,120
DAPA,119,H20T DAPA,H20T AR  ,True,120
DAPC,0, C32 DAPC, C12 AR  ,True,138
DAPC,1, H2X DAPC, H2R AR  ,True,138
DAPC,2, H2Y DAPC, H2S AR  ,True,138
DAPC,3, C33 DAPC, C13 AR  ,True,138
DAPC,4, H3X DAPC, H3R AR  ,True,138
DAPC,5, H3Y DAPC, H3S AR  ,True,138
DAPC,6, C34 DAPC, C14 AR  ,True,138
DAPC,7, H4X DAPC, H4R AR  ,True,138
DAPC,8, H4Y DAPC, H4S AR  ,True,138
DAPC,9, C35 DAPC, C15 AR  ,True,138
DAPC,10, H5X DAPC, H5R AR  ,True,138
DAPC,11, C36 DAPC, C16 AR  ,True,138
DAPC,12, H6X DAPC, H6R AR  ,True,138
DAPC,13, C37 DAPC, C17 AR  ,True,138
DAPC,14, H7X DAPC, H7R AR  ,True,138
DAPC,15, H7Y DAPC, H7S AR  ,True,138
DAPC,16, C38 DAPC, C18 AR  ,True,138
DAPC,17, H8X DAPC, H8R AR  ,True,138
DAPC,18, C39 DAPC, C19 AR  ,True,138
DAPC,19, H9X DAPC, H9R AR  ,True,138
DAPC,20,C310 DAPC,C110 AR  ,True,138
DAPC,21,H10X DAPC,H10R AR  ,True,138
DAPC,22,H10Y DAPC,H10S AR  ,True,138
DAPC,23,C311 DAPC,C111 AR  ,True,138
DAPC,24,H11X DAPC,H11R AR  ,True,138
DAPC,25,C312 DAPC,C112 AR  ,True,138
DAPC,26,H12X DAPC,H12R AR  ,True,138
DAPC,27,C313 DAPC,C113 AR  ,True,138
DAPC,28,H13X DAPC,H13R AR  ,True,138
DAPC,29,H13Y DAPC,H13S AR  ,True,138
DAPC,30,C314 DAPC,C114 AR  ,True,138
DAPC,31,H14X DAPC,H14R AR  ,True,138
DAPC,32,C315 DAPC,C115 AR  ,True,138
DAPC,33,H15X DAPC,H15R AR  ,True,138
DAPC,34,C316 DAPC,C116 AR  ,True,138
DAPC,35,H16X DAPC,H16R AR  ,True,138
DAPC,36,H16Y DAPC,H16S AR  ,True,138
DAPC,37,C317 DAPC,C117 AR  ,True,138
DAPC,38,H17X DAPC,H17R AR  ,True,138
DAPC,39,H17Y DAPC,H17S AR  ,True,138
DAPC,40,C318 DAPC,C118 AR  ,True,138
DAPC,41,H18X DAPC,H18R AR  ,True,138
DAPC,42,H18Y DAPC,H18S AR  ,True,138
DAPC,43,C319 DAPC,C119 AR  ,True,138
DAPC,44,H19X DAPC,H19R AR  ,True,138
DAPC,45,H19Y DAPC,H19S AR  ,True,138
DAPC,46,C320 DAPC,C120 AR  ,True,138
DAPC,47,H20X DAPC,H20R AR  ,True,138
DAPC,48,H20Y DAPC,H20S AR  ,True,138
DAPC,49,H20Z DAPC,H20T AR  ,True,138
DAPC,50, N   DAPC, N31 PC  ,True,138
DAPC,51, C12 DAPC, C32 PC  ,True,138
DAPC,52,H12A DAPC, H2A PC  ,True,138
DAPC,53,H12B DAPC, H2B PC  ,True,138
DAPC,54, C13 DAPC, C33 PC  ,True,138
DAPC,55,H13A DAPC, H3A PC  ,True,138
DAPC,56,H13B DAPC, H3B PC  ,True,138
DAPC,57,H13C DAPC, H3C PC  ,True,138
DAPC,58, C14 DAPC, C34 PC  ,True,138
DAPC,59,H14A DAPC, H4A PC  ,True,138
DAPC,60,H14B DAPC, H4B PC  ,True,138
DAPC,61,H14C DAPC, H4C PC  ,True,138
DAPC,62, C15 DAPC, C35 PC  ,True,138
